# Authors of papers coded as being about China (CHN in country_iso3_list)
# Source: data/country_classified.csv  |  Total papers: 217
# Format per line: AUTHORS  |  Title  (JOURNAL YEAR, doi:DOI)  [setting; iso3_list]
#----------------------------------------------------------------------------------------------------
Joris Mueller  |  The Domestic Political Economy of China’s Foreign Aid  (RESTAT 2025, doi:10.1162/rest.a.1624)  [single_country; CHN]
Marco Castillo; Ragan Petrie; Rong Rong  |  My Neighbor Next Floor: The Built Environment and Social Preferences  (RESTAT 2025, doi:10.1162/rest.a.1684)  [single_country; CHN]
Panle Jia Barwick; Luming Chen; Shanjun Li; Xiaobo Zhang  |  Entry Deregulation, Market Turnover, and Efficiency: China's Business Registration Reform  (RESTAT 2025, doi:10.1162/rest_a_01549)  [single_country; CHN]
Seonmin Will Heo; Koichiro Ito; Rao Kotamarthi  |  International Spillover Effects of Air Pollution: Evidence from Mortality and Health Data  (RESTAT 2025, doi:10.1162/rest_a_01581)  [multi_country; CHN]
Ying Feng  |  Firm Life-Cycle Learning and Misallocation  (RESTAT 2025, doi:10.1162/rest.a.1678)  [single_country; CHN]
Lin Yang; Yatang Lin; Wang Jin; Fangyuan Peng  |  Achieving Air Pollution Control Targets with Technology‑Aided Monitoring: Better Enforcement or Localized Efforts?  (AEJ_EP 2024, doi:10.1257/pol.20220810)  [single_country; CHN]
Philippe Aghion; Antonin Bergeaud; Matthieu Lequien; Marc J. Melitz; Thomas Zuber  |  Opposing Firm-Level Responses to the China Shock: Output Competition versus Input Supply  (AEJ_EP 2024, doi:10.1257/pol.20210753)  [single_country; CHN]
Shengmao Cao; Lisa Xuejie Yi; Chuan Yu  |  Competitive Bidding in Drug Procurement: Evidence from China  (AEJ_EP 2024, doi:10.1257/pol.20220505)  [single_country; CHN]
Anton Cheremukhin; Mikhail Golosov; Sergei Guriev; Aleh Tsyvinski  |  The Political Development Cycle: The Right and the Left in People’s Republic of China from 1953  (AER 2024, doi:10.1257/aer.20220249)  [single_country; CHN]
Cai Jing; Ádám Szeidl  |  Indirect Effects of Access to Finance  (AER 2024, doi:10.1257/aer.20220711)  [single_country; CHN]
Gene M. Grossman; Elhanan Helpman; Stephen J. Redding  |  When Tariffs Disrupt Global Supply Chains  (AER 2024, doi:10.1257/aer.20211519)  [single_country; CHN]
Mark Buntaine; Michael Greenstone; Guojun He; Mengdi Liu; Shaoda Wang; Bing Zhang  |  Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China  (AER 2024, doi:10.1257/aer.20221215)  [single_country; CHN]
