iso3,name_canonical,income_group,headcount_pct_2021,headcount_year_used,headcount_reporting_level,headcount_is_interpolated,headcount_is_stale,total_population_2021,poor_population_2021_mn,poverty_data_missing,headcount_pct_2002,headcount_2002_is_interpolated,total_population_2002,poor_population_2002_mn,poverty_reduction_2002_to_2021_mn,poverty_change_data_missing
MEX,Mexico,UMC,1.7400,2020,national,FALSE,FALSE,127648148,2.2211,FALSE,6.3900,FALSE,101548624,6.4890,4.2679,FALSE
MHL,Marshall Islands,UMC,0.8100,2019,national,FALSE,FALSE,41367,0.0003,FALSE,,,51425,,,TRUE
MKD,North Macedonia,UMC,2.3900,2019,national,FALSE,FALSE,1837114,0.0439,FALSE,0.8400,FALSE,2020157,0.0170,-0.0269,FALSE
MLI,Mali,LIC,15.9700,2021,national,FALSE,FALSE,22388630,3.5755,FALSE,,,12288050,,,TRUE
MMR,Myanmar,LMC,2.0800,2017,national,FALSE,FALSE,53387102,1.1105,FALSE,,,46232653,,,TRUE
MNE,Montenegro,UMC,1.8300,2021,national,FALSE,FALSE,625053,0.0114,FALSE,,,609828,,,TRUE
MNG,Mongolia,UMC,0.2400,2018,national,FALSE,FALSE,3383741,0.0081,FALSE,7.5600,FALSE,2449027,0.1851,0.1770,FALSE
MOZ,Mozambique,LIC,69.8000,2019,national,FALSE,FALSE,31707800,22.1320,FALSE,77.9100,FALSE,18958338,14.7704,-7.3616,FALSE
MRT,Mauritania,LMC,3.3300,2019,national,FALSE,FALSE,4734874,0.1577,FALSE,,,2738655,,,TRUE
MUS,Mauritius,UMC,0.0800,2017,national,FALSE,FALSE,1266334,0.0010,FALSE,,,1204621,,,TRUE
MWI,Malawi,LIC,56.9300,2019,national,FALSE,FALSE,20047258,11.4129,FALSE,,,11880440,,,TRUE
MYS,Malaysia,UMC,0.0000,2021,national,FALSE,FALSE,34282399,0.0000,FALSE,,,24102477,,,TRUE
NAM,Namibia,LMC,13.4800,2015,national,FALSE,TRUE,2810548,0.3789,FALSE,,,1889970,,,TRUE
NER,Niger,LIC,32.4800,2021,national,FALSE,FALSE,24502140,7.9583,FALSE,,,12349144,,,TRUE
NGA,Nigeria,LMC,17.3200,2018,national,FALSE,FALSE,218529286,37.8493,FALSE,,,133471989,,,TRUE
NIC,Nicaragua,LMC,2.7600,2014,national,FALSE,TRUE,6644741,0.1834,FALSE,,,5149909,,,TRUE
NPL,Nepal,LMC,6.1400,2010,national,FALSE,TRUE,29475010,1.8098,FALSE,,,25328981,,,TRUE
PAK,Pakistan,LMC,2.8000,2018,national,FALSE,FALSE,239477801,6.7054,FALSE,,,163222549,,,TRUE
PER,Peru,UMC,2.1800,2021,national,FALSE,FALSE,33155882,0.7228,FALSE,15.6700,FALSE,27288217,4.2761,3.5533,FALSE
PHL,Philippines,LMC,2.1900,2021,national,FALSE,FALSE,113100950,2.4769,FALSE,,,83068889,,,TRUE
PNG,Papua New Guinea,LMC,35.4800,2009,national,FALSE,TRUE,10012896,3.5526,FALSE,,,5924003,,,TRUE
PRK,"Korea, Dem. People's Rep.",LIC,,,,,,26232534,,TRUE,,,23943973,,,TRUE
PRY,Paraguay,UMC,0.6800,2021,national,FALSE,FALSE,6684182,0.0455,FALSE,12.3900,FALSE,5261328,0.6519,0.6064,FALSE
PSE,West Bank and Gaza,LMC,0.3200,2016,national,FALSE,FALSE,4922749,0.0158,FALSE,,,3075373,,,TRUE
RWA,Rwanda,LIC,43.9600,2016,national,FALSE,FALSE,13355260,5.8710,FALSE,,,8400180,,,TRUE
